Number of observations,Upper 0.1% Significance Level,Upper 0.5% Significance Level,Upper 1% Significance Level,Upper 2.5% Significance Level,Upper 5% Significance Level,Upper 10% Significance Level
3,"1,155","1,155","1,155","1,155","1,153","1,148"
4,"1,499","1,496","1,492","1,481","1,463","1,425"
5,"1,780","1,764","1,749","1,715","1,672","1,602"
6,"2,011","1,973","1,944","1,887","1,822","1,729"
7,"2,201","2,139","2,097","2,020","1,938","1,828"
8,"2,358","2,274","2,221","2,126","2,032","1,909"
9,"2,492","2,387","2,323","2,215","2,110","1,977"
10,"2,606","2,482","2,410","2,290","2,176","2,036"
11,"2,705","2,564","2,485","2,355","2,234","2,088"
12,"2,791","2,636","2,550","2,412","2,285","2,134"
13,"2,867","2,699","2,607","2,462","2,331","2,175"
14,"2,935","2,755","2,659","2,507","2,371","2,213"
15,"2,997","2,806","2,705","2,549","2,409","2,247"
16,"3,052","2,852","2,747","2,585","2,443","2,279"
17,"3,103","2,894","2,785","2,620","2,475","2,309"
18,"3,149","2,932","2,821","2,651","2,504","2,335"
19,"3,191","2,968","2,854","2,681","2,532","2,361"
20,"3,230","3,001","2,884","2,709","2,557","2,385"
21,"3,266","3,031","2,912","2,733","2,580","2,408"
22,"3,300","3,060","2,939","2,758","2,603","2,429"
23,"3,332","3,087","2,963","2,781","2,624","2,448"
24,"3,362","3,112","2,987","2,802","2,644","2,467"
25,"3,389","3,135","3,009","2,822","2,663","2,486"
26,"3,415","3,157","3,029","2,841","2,681","2,502"
27,"3,440","3,178","3,049","2,859","2,698","2,519"
28,"3,464","3,199","3,068","2,876","2,714","2,534"
29,"3,486","3,218","3,085","2,893","2,730","2,549"
30,"3,507","3,236","3,103","2,908","2,745","2,563"
31,"3,528","3,253","3,119","2,924","2,759","2,577"
32,"3,546","3,270","3,135","2,938","2,773","2,591"
33,"3,565","3,286","3,150","2,952","2,786","2,604"
34,"3,582","3,301","3,164","2,965","2,799","2,616"
35,"3,599","3,316","3,178","2,979","2,811","2,628"
36,"3,616","3,330","3,191","2,991","2,823","2,639"
37,"3,631","3,343","3,204","3,003","2,835","2,650"
38,"3,646","3,356","3,216","3,014","2,846","2,661"
39,"3,660","3,369","3,228","3,025","2,857","2,671"
40,"3,673","3,381","3,240","3,036","2,866","2,682"
41,"3,687","3,393","3,251","3,046","2,877","2,692"
42,"3,700","3,404","3,261","3,057","2,887","2,700"
43,"3,712","3,415","3,271","3,067","2,896","2,710"
44,"3,724","3,425","3,282","3,075","2,905","2,719"
45,"3,736","3,435","3,292","3,085","2,914","2,727"
46,"3,747","3,445","3,302","3,094","2,923","2,736"
47,"3,757","3,455","3,310","3,103","2,931","2,744"
48,"3,768","3,464","3,319","3,111","2,940","2,753"
49,"3,779","3,474","3,329","3,120","2,948","2,760"
50,"3,789","3,483","3,336","3,128","2,956","2,768"
51,"3,798","3,491","3,345","3,136","2,964","2,775"
