Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:01848001


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
1848001;1;01/04/1948;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;5,3;0,0;0,0;12,2;;0,0;0,0;0,0;7,2;0,0;40,2;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1848001;1;01/03/1948;1;40,1;211,5;29;12;1;1;0;;0;16,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;24,0;11,3;11,4;37,0;31,0;0,0;2,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,3;0,0;0,0;12,4;0,0;40,1;17,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1848001;1;01/02/1948;1;35,2;142,5;17;9;1;1;0;;0;0,0;0,0;19,2;3,0;0,0;0,0;0,0;0,0;0,0;0,0;27,2;4,3;0,0;15,0;0,0;27,2;35,2;5,4;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
1848001;1;01/01/1948;1;92,0;381,2;13;11;1;1;0;;0;0,0;0,0;0,0;0,0;9,2;0,0;0,0;9,2;0,0;0,0;0,0;32,0;92,0;87,2;37,3;0,0;53,4;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;38,2;12,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1848001;1;01/12/1947;1;71,2;434,7;18;17;1;1;0;1470,30004882813;1;0,0;0,0;43,3;31,4;0,0;0,0;0,0;27,5;15,3;3,4;0,0;16,0;44,4;0,0;5,2;12,4;48,2;71,2;3,4;0,0;0,0;6,4;0,0;0,0;0,0;33,0;0,0;0,0;5,2;49,0;19,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1848001;1;01/11/1947;1;31,0;69,3;26;9;1;1;0;1470,30004882813;1;0,0;0,0;3,3;10,1;0,0;0,0;0,0;0,0;0,0;5,1;5,0;0,0;4,5;6,0;0,0;0,0;0,0;2,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;31,0;2,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1848001;1;01/10/1947;1;31,2;117,1;23;13;1;1;0;1470,30004882813;1;7,4;2,6;0,0;0,0;0,0;0,0;0,0;0,0;13,2;5,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,4;2,8;0,0;4,5;0,0;31,2;10,4;16,4;4,2;0,0;0,0;0,0;2,0;8,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1848001;1;01/09/1947;1;12,1;38,5;4;7;1;1;0;1470,30004882813;1;0,0;0,0;0,0;12,1;9,3;0,0;0,0;0,0;1,4;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;0,0;0,0;4,8;0,0;0,0;0,0;6,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1848001;1;01/08/1947;1;14,2;40,9;30;5;1;1;0;1470,30004882813;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;10,3;14,2;8,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1848001;1;01/07/1947;1;4,2;5,2;7;2;1;1;0;1470,30004882813;1;0,0;0,0;0,0;0,0;0,0;0,0;4,2;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
