Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02040003


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2040003;1;01/09/2022;1;3,2;6,4;19;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;0,1;0,0;0,0;0,0;0,0;0,0;0,0;3,1;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2040003;1;01/08/2022;1;12,9;14,6;28;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,9;1,5;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2040003;1;01/07/2022;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2040003;1;01/06/2022;1;5,5;16,7;20;8;1;1;1;;0;0,2;1,3;1,7;0,8;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,2;0,0;0,0;0,0;5,5;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2040003;1;01/03/2022;1;14,9;34,7;22;7;1;1;1;;0;0,0;0,0;2,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,2;0,1;0,0;0,0;0,0;0,0;1,4;0,0;0,0;0,0;0,0;14,9;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2040003;1;01/02/2022;1;32,1;32,5;3;2;3;3;3;;0;0,0;0,0;32,1;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;3;1;3;3;3;1;1;1;1;1;3;3;3;1;3;1;1;3;1;1;1;1;1;1;1;1;1;0;0;0;
2040003;1;01/01/2022;1;98,8;176,5;15;;3;3;3;;0;0,2;0,0;0,0;29,7;;36,5;6,3;0,7;0,0;0,0;0,0;0,0;0,0;0,0;98,8;0,0;0,0;0,0;0,0;0,0;0,0;2,1;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;0;4;1;3;3;3;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2040003;1;01/12/2021;1;41,6;93,3;25;10;3;3;3;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,3;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,7;4,1;41,6;3,8;0,1;6,8;19,4;0,1;0,0;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2040003;1;01/11/2021;1;;218,8;;;0;1;0;;0;0,0;11,9;24,5;5,6;4,2;21,4;0,6;16,7;0,3;22,1;;39,9;18,9;16,0;4,7;1,9;;20,1;0,0;0,0;0,0;9,9;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;0;
2040003;1;01/10/2021;1;;286,1;;;0;1;0;;0;0,0;0,0;39,9;2,4;0,1;0,0;0,0;0,0;0,0;0,0;1,4;0,9;11,0;11,9;;69,9;22,1;18,8;7,5;1,4;0,3;0,1;;49,8;28,6;16,1;2,5;0,0;0,0;0,0;1,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;
