Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02043032


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2043032;1;01/12/1965;1;82,0;259,4;4;16;1;1;0;1971,80004882813;1;0,0;54,0;7,6;82,0;3,0;2,0;0,0;15,0;7,0;1,1;4,5;8,0;0,0;0,0;0,0;0,0;38,8;0,0;0,0;0,0;0,0;0,0;19,0;14,0;1,1;0,0;0,0;0,0;0,0;1,0;1,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2043032;1;01/11/1965;1;51,0;186,0;15;20;1;1;0;1971,80004882813;1;37,0;4,0;2,0;0,0;0,0;0,0;0,0;0,0;0,6;1,0;2,0;3,0;2,0;7,0;51,0;5,0;12,0;2,6;0,0;0,0;4,0;15,0;9,0;0,0;0,0;0,0;8,8;4,0;6,0;10,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2043032;1;01/10/1965;1;39,0;268,5;2;28;1;1;0;1971,80004882813;1;0,0;39,0;0,0;0,5;0,3;0,0;8,0;7,0;5,0;2,0;9,0;0,9;2,0;3,0;4,0;0,8;5,0;3,0;4,0;6,0;12,0;21,0;4,0;7,0;8,0;9,0;17,0;24,0;8,0;21,0;38,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2043032;1;01/09/1965;1;21,0;53,5;28;5;1;1;0;1971,80004882813;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,5;15,0;21,0;7,0;9,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2043032;1;01/08/1965;1;8,0;9,4;19;5;1;1;0;1971,80004882813;1;0,2;0,0;0,0;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2043032;1;01/07/1965;1;4,0;5,3;18;4;1;1;0;1971,80004882813;1;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2043032;1;01/06/1965;1;4,0;4,0;27;1;1;1;0;1971,80004882813;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2043032;1;01/05/1965;1;19,0;49,8;19;7;1;1;0;1971,80004882813;1;1,0;6,8;8,0;3,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;19,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2043032;1;01/04/1965;1;5,0;23,5;10;7;1;1;0;1971,80004882813;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;5,0;3,0;3,5;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;2,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2043032;1;01/03/1965;1;50,0;317,6;13;19;1;1;0;1971,80004882813;1;0,0;36,3;0,0;0,0;4,1;6,0;3,9;6,2;5,6;18,0;18,5;26,0;50,0;0,0;0,0;0,0;0,0;1,0;4,5;0,5;42,0;0,0;0,0;0,0;6,0;20,0;39,0;9,0;21,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
