Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02243077


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2243077;1;01/05/1981;1;9,7;17,7;29;4;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,7;4,7;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243077;1;01/04/1981;1;59,4;133,2;17;10;1;1;0;;0;13,1;10,5;0,1;0,0;0,0;0,0;0,0;0,0;0,1;4,3;0,0;0,0;0,0;0,0;0,0;3,6;59,4;20,6;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243077;1;01/03/1981;1;37,2;147,9;9;16;1;1;0;;0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,6;37,2;14,1;0,0;0,0;0,0;8,3;0,2;0,0;0,3;1,4;23,9;12,5;5,4;2,9;5,8;0,0;0,0;0,0;0,0;0,0;1,5;8,4;25,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243077;1;01/02/1981;1;16,0;18,2;10;6;1;1;0;;0;0,0;0,0;0,0;0,0;0,1;0,2;0,0;0,3;0,0;16,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2243077;1;01/01/1981;1;82,2;176,9;22;8;1;1;0;;0;0,0;0,0;0,4;0,0;0,0;9,4;0,0;0,0;2,0;0,0;0,0;5,1;0,0;0,0;12,6;56,4;0,0;0,0;0,0;0,0;0,0;82,2;8,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243077;1;01/12/1980;1;27,9;118,2;1;16;1;1;0;1720,69995117187;2;27,9;1,0;4,1;0,4;24,3;0,0;7,7;0,2;3,3;0,0;0,0;0,0;2,7;0,8;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,9;3,6;0,0;0,0;4,5;2,3;17,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243077;1;01/11/1980;1;111,0;247,9;11;12;2;1;0;1720,69995117187;2;43,8;1,6;0,0;0,0;0,0;0,0;0,0;20,8;21,2;0,6;111,0;11,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,0;0,0;0,0;0,0;0,5;19,6;1,0;0,0;0,0;0,0;2,0;;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243077;1;01/10/1980;1;72,6;243,0;13;12;1;1;0;1720,69995117187;2;0,0;0,0;0,0;0,0;15,8;8,0;8,1;4,4;0,0;0,0;2,2;44,8;72,6;45,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,4;8,1;13,8;0,0;0,0;0,0;0,0;0,0;16,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243077;1;01/09/1980;1;47,5;139,8;23;8;1;1;0;1720,69995117187;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;32,6;20,9;11,1;0,0;0,1;8,0;47,5;0,0;0,0;13,4;6,2;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243077;1;01/08/1980;1;;149,6;;;0;2;0;1720,69995117187;2;52,7;7,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;0,0;1,7;0,0;2,4;14,2;0,0;0,0;0,0;0,0;30,0;0,0;;;;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;0;0;0;1;1;1;
