Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02243155


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2243155;1;01/08/1993;1;;;;;0;0;0;;0;7,4;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,8;0,0;0,0;0,0;1,4;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2243155;1;01/07/1993;1;5,6;15,4;15;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,8;0,0;0,0;0,0;0,0;0,0;0,0;5,6;3,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;1,0;0,4;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2243155;1;01/06/1993;1;37,4;98,8;11;8;1;1;1;;0;0,0;13,0;1,0;0,0;0,0;25,0;0,0;0,0;0,0;6,2;37,4;7,0;1,0;0,0;0,0;0,0;0,0;0,0;8,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2243155;1;01/05/1993;1;16,0;47,2;15;8;1;1;1;;0;0,4;0,0;0,0;0,0;0,0;2,4;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,0;4,6;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,2;0,0;0,0;12,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2243155;1;01/04/1993;1;36,0;105,0;10;8;1;1;1;;0;3,8;0,0;27,0;9,2;0,0;0,0;0,0;0,0;13,6;36,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,2;2,2;11,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2243155;1;01/03/1993;1;66,0;267,5;18;13;1;1;1;;0;4,5;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,4;17,8;14,6;0,0;0,0;0,0;0,0;66,0;4,8;20,6;58,0;0,0;0,0;0,0;7,4;37,0;0,0;0,0;0,0;15,4;11,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2243155;1;01/02/1993;1;48,4;142,1;27;10;1;1;1;;0;0,0;0,0;0,0;0,0;2,4;1,2;0,0;0,0;0,0;0,0;0,0;0,0;2,8;0,0;7,0;8,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;29,0;24,6;48,4;16,2;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2243155;1;01/01/1993;1;24,4;99,6;11;13;1;1;1;;0;0,0;0,0;0,0;9,0;0,6;7,0;0,0;1,6;1,0;7,6;24,4;2,0;0,0;0,0;0,0;0,0;0,0;4,2;20,4;0,0;0,0;10,8;2,4;8,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2243155;1;01/04/1989;1;47,6;136,7;15;11;1;1;1;;0;0,0;0,0;16,6;0,2;0,0;0,0;16,4;0,0;0,0;0,0;0,0;14,0;0,0;10,8;47,6;6,3;7,7;0,0;0,0;16,2;0,2;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2243155;1;01/03/1989;1;60,2;242,7;6;18;1;1;1;;0;0,5;21,0;0,5;2,8;0,0;60,2;1,7;42,1;0,2;1,2;0,0;0,0;0,0;51,1;0,2;14,1;2,1;0,0;1,9;17,4;0,0;0,0;0,0;4,4;0,0;0,0;0,0;21,2;0,0;0,1;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
